"ID","Projeto","Claim","Fonte","Verificacao","Dataset","Nivel_T","Nivel_E","Resultado","Status","Confianca"
"E01","ecosystem-predictor","Registry descobre e integra os 3 domínios reais de forma mecanicamente verificável","docs/adr/0001-plugin-protocol-v1.md; ECOSYSTEM_MECHANICAL_STATE.md","Instalação real dos 3 domínios + ecosystem juntos; Registry.discover() executado","N/A","T5","N/A","stocks e brasileirao carregam o MESMO objeto Python (colisão de módulo 'src'); dado errado servido silenciosamente","INVALIDADO","Alta"
"E02","ecosystem-predictor","Suíte de testes do ecosystem-predictor é independente e não quebra com outros repos instalados","implícito no design","Instalação de brasileirao-predictor junto + coleta de testes","N/A","T5","N/A","ImportError: colisão do pacote 'scripts' quebra a coleta de testes","INVALIDADO","Alta"
"E03","ecosystem-predictor","Postgres/Redis/object storage são necessários para operação","compose.yaml; settings.py (obrigatórios sem default)","Leitura de código + coverage report real","N/A","T4","N/A","0% cobertura em db/models.py; nenhuma rota HTTP real os usa","INVALIDADO (uso real)","Alta"
"E04","ecosystem-predictor","Domínios econômicos dependem do ecosystem-predictor para operar","implícito na existência do repo","Grep exaustivo nos 3 domínios","N/A","T5","N/A","Nenhum domínio importa ecosystem_predictor em produção","INVALIDADO","Alta"
"E05","ecosystem-predictor","'ECOSYSTEM_REQUIRED_DOMAINS=lol,cs' é o escopo atual",".env.example (nunca alterado desde 03/08)","Comparação com ECOSYSTEM_CHARTER.md (23/08)","N/A","T1","N/A","lol e cs estão fora do escopo canônico atual (cripto/brasileirao/stocks)","STALE","Alta"
"E06","ecosystem-predictor","47 passed, coverage 81%","docs/GO_CHECKLIST.md (02/08)","Execução real da suíte","N/A","T4","N/A","70 passed, 83% coverage (suíte cresceu, doc não atualizado)","STALE","Alta"
"C01","core-predictor","brier/log_loss/rps implementados corretamente","docstring + golden tests","Reprodução manual independente","N/A","T5","N/A","3/3 valores batem exatamente (tolerância 1e-12)","CONFIRMADO","Alta"
"C02","core-predictor","PSR verificado contra QuantConnect/LEAN","docstring de measurement/stats.py","Verificação algébrica contra Bailey & López de Prado (2012); sem acesso ao LEAN","N/A","T4","N/A","Fórmula bate algebricamente com a literatura; claim específico de verificação cruzada com LEAN não reproduzível","PARCIALMENTE CONFIRMADO","Média-alta"
"C03","core-predictor","max_drawdown exige equity curve e levanta erro em input inválido","CHANGELOG (bug real em cripto v3)","Reprodução manual + teste de regressão","N/A","T5","N/A","[100,110,88,95,100] -> drawdown 0.2, bate exatamente","CONFIRMADO","Alta"
"C04","core-predictor","296 testes passam, cobertura >= 80%","pyproject.toml gate","Execução real ao vivo","N/A","T5","N/A","296 passed, 86.55% branch coverage","CONFIRMADO","Alta"
"C05","core-predictor","Wheel publicado v2.3.0 corresponde ao HEAD do repositório","implícito (fonte única da verdade)","git log v2.3.0..HEAD --stat","N/A","T5","N/A","HEAD tem 4 commits além da tag, com mudanças reais em ledger.py/trials.py/harness.py; pyproject ainda diz 2.3.0","STALE / CONTRADITORIO","Alta"
"C06","core-predictor","stocks-predictor usa a versão vendorizada de predictor_core corretamente sincronizada","implícito","Execução real de sync_core.py --audit","N/A","T5","N/A","stocks-predictor: DRIFT; vendor é v1.3.0-ga obsoleto, não usado em produção real (imports vêm do wheel)","CONFIRMADO (drift)","Alta"
"C07","core-predictor","Core reduz leakage de forma estrutural (replay/PastView)","HANDOFF.md","Grep exaustivo de uso nos 3 domínios","N/A","T4","N/A","measurement.replay tem ZERO consumidores diretos nos 3 domínios atuais","PARCIALMENTE CONFIRMADO (mecanismo subutilizado)","Alta"
"C08","core-predictor","~68-77% do core é efetivamente consumido pelos 3 domínios","análise própria do auditor","Grep exaustivo cross-repo, contagem de linhas/submódulos","N/A","T4","N/A","19/28 submódulos e ~76-77% das linhas com consumidor real; ~22-24% dormant","CONFIRMADO","Alta"
"O01","predictor-ops","stocks-predictor usa predictor_ops operacionalmente","pyproject.toml (dependência declarada)","Grep exaustivo (.py/.sh/.bat/.ps1/Dockerfile) + corroboração por auditoria externa já presente no repo stocks","N/A","T4","N/A","Zero uso funcional em src/ ou main.py; só smoke-import em CI e assert em conftest","INVALIDADO","Alta"
"O02","predictor-ops","brasileirao-predictor usa predictor_ops apenas 'en passant'","hipótese inicial da tarefa","Leitura de scripts/install_windows_scheduler.ps1","N/A","T2","N/A","Uso real via CLI para 11 jobs de coleta, mas caminho de decisão mais atual (funil H9) NÃO passa pela lib; jobs H9 instalados duas vezes (com e sem wrapper)","PARCIALMENTE CONFIRMADO (mais complexo que hipótese inicial)","Média"
"O03","predictor-ops","80 passed / 87.87% coverage","docs/audit-evidence.md","Execução real reexecutada","N/A","T5","N/A","80 passed / 88.02% coverage - bate com folga mínima","CONFIRMADO","Alta"
"O04","predictor-ops","Backend Redis funciona corretamente","código + testes","Redis real subido pelo auditor; 3/3 testes de integração passam","N/A","T4","N/A","Funciona tecnicamente; zero uso em configs de produção observadas (todas usam backend local)","CONFIRMADO (mecanismo) / DORMANT (produção)","Alta"
"O05","predictor-ops","Scripts PowerShell 'transitional' serão removidos na versão 3.0","migration/windows/README.md","Comparação de versão declarada (3.1.0) vs prazo","N/A","T1","N/A","Versão atual é 3.1.0; scripts ainda presentes; condição de remoção (todos consumidores migrados) não cumprida","STALE","Alta"
"O06","predictor-ops","Ecossistema tinha apenas os 3 domínios econômicos atuais","implícito no escopo da auditoria","git show de HANDOFF.md deletado (commit 56b78b4)","N/A","T4","N/A","HANDOFF anterior cita 5 consumidores: brasileirao/cs/f1/lol-predictor + previsao-cripto","INFERENCE CONFIRMADA (ecossistema encolheu)","Alta"
"CR01","cripto-predictor","H1 (HMM+funding/OI) tem edge líquido positivo","HANDOFF-2026-07-02.md (GO histórico pré-custos)","trials.json + reexecução em base estendida 2026-08-27","PRESENTE","T1","E2","Edge líquido -0.09bps/sinal (BTC); reconfirmado negativo em reexecução","INVALIDADO","Alta (na ausência de edge)"
"CR02","cripto-predictor","H5 (score LLM D+7 multi-provedor) prevê retorno positivo","docs/HYPOTHESES.md","trials.json, n=440","PRESENTE","T1","E2","Spearman -0.166, IC95 [-0.266,-0.057] - correlação negativa e significativa, direção oposta","INVALIDADO","Alta"
